state	sample	success	sim_endpoints	sim_t_step	f_art0	f_art1	f_art2	f_art3	f_art4	f_art5	f_art6	f_prep0	f_prep1	f_prep2	f_prep3	f_prep4	f_prep5	f_prep6	k_art0	k_art1	k_art2	k_art3	k_art4	k_art5	k_art6	k_prep0	k_prep1	k_prep2	k_prep3	k_prep4	k_prep5	k_prep6	n_msm0	n_msm1	n_msm2	n_msm3	n_msm4	n_msm5	n_msm6
Baden-Württemberg	1	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1354.9662497336872	1217.9124231624041	1204.5859550733005	1186.9482083019213	1173.9605524405235	1152.4436977651899	1139.9714122557207	0.0	0.0	378.29937839159857	481.91694202115195	391.33791030685995	745.5972076779491	865.4329742661879	-0.00012090508119525447	-0.00012090508119525447	-0.00012090508119525447	-0.00012090508119525447	-0.00012090508119525447	-0.00012090508119525447	-0.00012090508119525447	0	0.0005679325165938104	0.00012142087962716284	-0.00014247984298576812	0.00034029659475167144	0.00020534425760014121	0.0001485059691833698	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	2	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1313.6206915051253	1248.3128524278222	1241.7623318169456	1233.0342160422038	1226.5638700625143	1215.761598179532	1209.4518146840921	0.0	0.0	323.76574972110774	546.715067156496	396.002438818124	778.43355539559	836.9531140137562	-5.781665508190318e-05	-5.781665508190318e-05	-5.781665508190318e-05	-5.781665508190318e-05	-5.781665508190318e-05	-5.781665508190318e-05	-5.781665508190318e-05	0	0.0004835588819858741	0.00026154902900065303	-0.00023869409741781951	0.0003687661343276128	0.00010031783942137656	9.037203277673743e-05	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	3	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1352.6273157009691	1233.5743893192678	1221.9038650286914	1206.4307187825966	1195.0169936515008	1176.0697611899614	1165.064968373691	0.0	0.0	350.5753961290792	524.1537661896853	321.35422014976035	801.6645235434244	852.0677572744463	-0.00010445906832968246	-0.00010445906832968246	-0.00010445906832968246	-0.00010445906832968246	-0.00010445906832968246	-0.00010445906832968246	-0.00010445906832968246	0	0.0005249282957608218	0.00020370201311282771	-0.0003181752411228928	0.00046089948773645405	8.675302197726358e-05	0.00013782470128536294	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	4	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1311.5689423710337	1275.8791861160064	1272.25263435822	1267.406832178691	1263.804362191654	1257.7705281240374	1254.2346796308861	0.0	0.0	339.5580839577518	373.05391153706347	304.20366214661243	698.2883894093723	721.6641044374634	-3.127957800767387e-05	-3.127957800767387e-05	-3.127957800767387e-05	-3.127957800767387e-05	-3.127957800767387e-05	-3.127957800767387e-05	-3.127957800767387e-05	0	0.0005079020670629179	3.8694646488715635e-05	-0.00010627229358580126	0.0003735680763209711	3.92666569594013e-05	0.00012017766100804508	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	5	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1338.2777341767219	1262.4784726668454	1254.906492354376	1244.8262536739637	1237.3601462595905	1224.908039325544	1217.6418880124031	0.0	0.0	255.6397193881607	475.1486456336121	313.49515197601045	753.3095648281958	839.0466239800074	-6.61073510471294e-05	-6.61073510471294e-05	-6.61073510471294e-05	-6.61073510471294e-05	-6.61073510471294e-05	-6.61073510471294e-05	-6.61073510471294e-05	0	0.00037937807708005066	0.0002540576339594927	-0.0002522163445249682	0.00041963191165247395	0.0001466236276683194	8.089216552287008e-05	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	6	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1335.0835213932596	1228.3534220525207	1217.8392227558152	1203.8843326528822	1193.5795786818767	1176.4524360637206	1166.4926768499768	0.0	0.0	371.28880536371656	480.2754859263791	360.6740360016979	763.6141084602921	862.7156556903182	-9.446628284262904e-05	-9.446628284262904e-05	-9.446628284262904e-05	-9.446628284262904e-05	-9.446628284262904e-05	-9.446628284262904e-05	-9.446628284262904e-05	0	0.0005570363871441326	0.00012760564235233003	-0.0001875457074724587	0.00038661725908127197	0.0001700852362889951	0.00013232608024785027	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	7	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1325.3458649246866	1291.501350307652	1288.0590212292927	1283.4584220628485	1280.0375303649191	1274.3064613343915	1270.9472379174572	0.0	0.0	250.38020869491692	433.302003137774	304.50385968051495	759.4295847330126	707.7387199421622	-2.9328884829976268e-05	-2.9328884829976268e-05	-2.9328884829976268e-05	-2.9328884829976268e-05	-2.9328884829976268e-05	-2.9328884829976268e-05	-2.9328884829976268e-05	0	0.0003713906142345052	0.00021074927107527568	-0.00019996713739317746	0.0004339453074650015	-8.72547490599137e-05	0.0001388406026820552	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	8	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1323.8711815932788	1251.6708266472099	1244.4494234055526	1234.833309015323	1227.7090483304946	1215.8234230885082	1208.8857012475917	0.0	0.0	241.71771212378934	427.76373992103083	302.70727711747736	669.441635025225	781.3048893455543	-6.358371634922591e-05	-6.358371634922591e-05	-6.358371634922591e-05	-6.358371634922591e-05	-6.358371634922591e-05	-6.358371634922591e-05	-6.358371634922591e-05	0	0.00035825232320330677	0.0002140589928198482	-0.00019402066427709778	0.00034658072566799247	0.00018851321609251702	0.00018467101818039016	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	9	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1327.7117261886804	1237.2932956574102	1228.3222106422882	1216.3970148620226	1207.5774398503684	1192.8928274386794	1184.338375302538	0.0	0.0	348.6864047590162	490.74158284261006	318.705227401108	820.2845367107658	879.4245833782883	-7.996687772157482e-05	-7.996687772157482e-05	-7.996687772157482e-05	-7.996687772157482e-05	-7.996687772157482e-05	-7.996687772157482e-05	-7.996687772157482e-05	0	0.0005220064864871054	0.0001661319674896829	-0.0002689590613223066	0.00048211168516763326	0.00010228633812576667	7.344300208015172e-05	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	10	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1309.7576630479066	1278.571748030498	1275.396716265466	1271.1524475805468	1267.995839900545	1262.7062354753825	1259.6050171357617	0.0	0.0	327.14501393977673	385.5112722776687	309.753288749005	688.3253576208446	794.7440452177079	-2.7322558926167427e-05	-2.7322558926167427e-05	-2.7322558926167427e-05	-2.7322558926167427e-05	-2.7322558926167427e-05	-2.7322558926167427e-05	-2.7322558926167427e-05	0	0.0004887617050186435	6.742592363813533e-05	-0.00011713637723436396	0.0003586929079875243	0.00017993701460759472	0.00010391729261972164	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	11	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1328.5302412030687	1255.7669068033274	1248.4901904702617	1238.8007081105488	1231.6223047800543	1219.6467588228224	1212.6567866206083	0.0	0.0	313.90852003700417	383.97601676644433	379.0211883502255	729.9687810576713	824.4256825177984	-6.386256498162442e-05	-6.386256498162442e-05	-6.386256498162442e-05	-6.386256498162442e-05	-6.386256498162442e-05	-6.386256498162442e-05	-6.386256498162442e-05	0	0.00046840148522068136	8.082939274319698e-05	-7.710946775031942e-06	0.00033617364589505006	0.00016089760920885438	0.000125379757786584	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	12	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1347.1372755573	1268.8532595651818	1261.03985668849	1250.6401833882385	1242.9389338285057	1230.0974247802221	1222.6056593806832	0.0	0.0	287.0183901279671	478.07096572882995	282.3747184678017	810.8779043252018	781.160026456106	-6.787784236244289e-05	-6.787784236244289e-05	-6.787784236244289e-05	-6.787784236244289e-05	-6.787784236244289e-05	-6.787784236244289e-05	-6.787784236244289e-05	0	0.00042719669460863257	0.00022184519703479476	-0.00030451328847372556	0.0005057223724819805	-5.081927362427287e-05	0.00013661432036066938	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	13	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1365.4520598325853	1243.2325272009277	1231.2625554510075	1215.3955288656616	1203.6935746236375	1184.2722659629135	1172.994671166624	0.0	0.0	330.2883991348261	410.6131784816703	328.33705271269497	852.8565813971372	847.2754269758735	-0.00010631597373184386	-0.00010631597373184386	-0.00010631597373184386	-0.00010631597373184386	-0.00010631597373184386	-0.00010631597373184386	-0.00010631597373184386	0	0.0004936043702081526	9.304558200917942e-05	-0.0001277489933639783	0.0005063400124062827	-9.653256011000794e-06	0.00015416490890864557	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	14	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1338.0494344741055	1281.8249342522377	1276.1601688009087	1268.6049074852426	1262.9985652623081	1253.6283084647193	1248.1488998767613	0.0	0.0	264.5818207695875	411.4091101069315	258.0581077877049	821.2168653634799	827.0396604628191	-4.867133235699663e-05	-4.867133235699663e-05	-4.867133235699663e-05	-4.867133235699663e-05	-4.867133235699663e-05	-4.867133235699663e-05	-4.867133235699663e-05	0	0.0003929763295589725	0.0001690334079454628	-0.00023653908361744128	0.0005382017959672002	1.0016207111253766e-05	8.643821184411182e-05	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	15	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1337.9672148170873	1246.6844874733831	1237.6283208245297	1225.590219996276	1216.687286345449	1201.8641541979741	1193.2291664438385	0.0	0.0	245.58540538059768	439.0625780636959	394.7949229164995	739.676272013082	784.5868454728766	-8.011773341130438e-05	-8.011773341130438e-05	-8.011773341130438e-05	-8.011773341130438e-05	-8.011773341130438e-05	-8.011773341130438e-05	-8.011773341130438e-05	0	0.00036411576176722615	0.00022293369077451168	-6.936520250799114e-05	0.0003311994580690447	7.625911600516651e-05	0.0001476716880024612	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	16	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1360.8185016872717	1238.3387816113618	1226.3469828833724	1210.4520683649664	1198.7303183969782	1179.277620057113	1167.982646636712	0.0	0.0	378.12997792364416	491.743569146367	361.0201117855639	772.8645923482859	881.7417668545332	-0.0001069337517623662	-0.0001069337517623662	-0.0001069337517623662	-0.0001069337517623662	-0.0001069337517623662	-0.0001069337517623662	-0.0001069337517623662	0	0.0005676690539239044	0.00013326041061196384	-0.00020522304557651984	0.00039554959212249695	0.00018742089116610363	0.0001549991295736372	7580	7580	7580	7580	7580	7580	7580
